,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,shimoda,75,JP,1577326081,67,34.7,138.93,59.0,2.24
1,ushuaia,40,AR,1577325801,61,-54.81,-68.31,50.0,11.41
2,hermanus,9,ZA,1577326081,55,-34.42,19.24,63.0,7.0
3,monrovia,40,LR,1577326082,94,6.33,-10.8,77.0,3.53
4,puerto ayora,17,EC,1577326085,89,-0.74,-90.35,73.99,1.99
5,lebu,7,ET,1577326085,93,8.96,38.73,50.16,1.97
6,byron bay,75,AU,1577326085,54,-28.65,153.62,84.2,20.8
7,touros,40,BR,1577326085,78,-5.2,-35.46,78.8,5.82
8,wanaka,100,NZ,1577326085,56,-44.7,169.14,56.93,6.89
9,marsabit,58,KE,1577326086,61,2.34,37.99,75.83,12.66
10,sai buri,20,TH,1577326086,88,6.7,101.62,75.2,5.82
11,toila,100,EE,1577326090,88,59.42,27.51,36.01,12.82
12,dikson,42,RU,1577326093,99,73.51,80.55,-17.88,2.39
13,tasiilaq,62,GL,1577326094,67,65.61,-37.64,21.2,6.93
14,georgetown,40,GY,1577325942,83,6.8,-58.16,80.6,6.93
15,belaya gora,99,RU,1577326095,100,68.54,146.19,-26.73,1.52
16,busselton,0,AU,1577326095,42,-33.64,115.35,87.01,12.15
17,linden,55,GY,1577326096,94,6.01,-58.31,77.0,4.7
18,port alfred,80,ZA,1577326096,89,-33.59,26.89,64.99,1.99
19,salalah,0,OM,1577326096,49,17.01,54.1,73.4,13.87
20,tarko-sale,85,RU,1577326097,78,64.92,77.78,-20.99,7.87
21,aklavik,90,CA,1577326097,75,68.22,-135.01,-16.6,4.7
22,lavrentiya,98,RU,1577326097,82,65.58,-170.99,-5.46,11.39
23,port elizabeth,1,US,1577326097,93,39.31,-74.98,37.99,2.26
24,sabang,100,PH,1577326098,67,13.8,121.11,84.72,9.15
25,butaritari,42,KI,1577326098,71,3.07,172.79,84.6,3.67
26,bluff,52,AU,1577326098,43,-23.58,149.07,89.13,15.3
27,hokitika,54,NZ,1577326098,71,-42.72,170.96,59.59,6.67
28,jamestown,59,AU,1577325817,15,-33.21,138.6,96.48,6.69
29,hilo,90,US,1577326031,65,19.71,-155.08,78.8,13.87
30,mpanda,100,BI,1577326098,95,-3.17,29.4,58.35,1.81
31,ponta do sol,2,BR,1577326098,90,-20.63,-46.0,66.65,1.57
32,constitucion,5,MX,1577326098,19,23.99,-104.67,57.2,6.93
33,auchi,0,NG,1577326098,32,7.07,6.27,71.55,1.79
34,upernavik,100,GL,1577326092,59,72.79,-56.15,8.53,3.87
35,itarema,3,BR,1577326098,77,-2.92,-39.92,79.14,9.91
36,winslow,100,GB,1577326099,100,51.94,-0.88,39.0,8.05
37,sidi ali,100,DZ,1577326099,68,36.1,0.42,52.83,2.98
38,gallup,90,US,1577326100,91,35.53,-108.74,32.0,8.05
39,chuy,89,UY,1577326100,83,-33.69,-53.46,68.76,12.21
40,alta floresta,98,BR,1577326100,97,-9.87,-56.08,72.0,2.21
41,albany,90,US,1577326100,63,42.65,-73.75,32.0,2.35
42,hithadhoo,71,MV,1577326102,73,-0.6,73.08,82.31,0.47
43,bandarbeyla,17,SO,1577326102,72,9.49,50.81,76.95,24.47
44,hobart,20,AU,1577325998,45,-42.88,147.33,75.0,12.75
45,ahipara,100,NZ,1577326104,69,-35.17,173.16,78.01,1.01
46,saint-philippe,90,CA,1577326104,67,45.36,-73.48,25.0,11.41
47,petropavlovsk-kamchatskiy,90,RU,1577326104,85,53.05,158.65,24.8,15.66
48,yangshan,100,CN,1577326105,83,31.68,103.77,29.08,4.18
49,puerto escondido,5,MX,1577326106,88,15.86,-97.07,78.8,3.36
50,mataura,100,NZ,1577326107,84,-46.19,168.86,61.5,5.1
51,rikitea,100,PF,1577326107,90,-23.12,-134.97,70.61,5.53
52,petropavl,96,KZ,1577326107,78,54.87,69.13,14.0,8.95
53,teya,20,MX,1577326107,83,21.05,-89.07,73.99,4.7
54,lhokseumawe,2,ID,1577326107,70,5.18,97.15,79.03,3.67
55,lata,0,IN,1577326108,18,30.78,78.62,8.1,12.62
56,maceio,75,BR,1577326108,78,-9.67,-35.74,78.8,6.93
57,punta arenas,75,CL,1577326108,61,-53.16,-70.91,48.2,25.28
58,ostrovnoy,100,RU,1577326108,95,68.05,39.51,12.69,2.39
59,pevek,100,RU,1577326108,98,69.7,170.27,-13.47,3.56
60,sao filipe,0,CV,1577326108,65,14.9,-24.5,73.58,12.06
61,ribeira grande,100,PT,1577326108,87,38.52,-28.7,60.33,24.36
62,portland,1,US,1577325823,68,43.66,-70.25,32.0,4.16
63,kirovskiy,100,RU,1577326108,87,45.09,133.51,2.73,2.48
64,chokurdakh,100,RU,1577326109,95,70.62,147.9,-18.56,3.58
65,sabha,0,LY,1577326109,48,27.03,14.43,50.67,6.69
66,san policarpo,47,PH,1577326109,84,12.18,125.51,82.13,15.41
67,komsomolskiy,3,RU,1577326110,92,67.55,63.78,-15.79,5.19
68,new norfolk,20,AU,1577326110,45,-42.78,147.06,75.0,12.75
69,kochki,99,RU,1577326110,96,54.33,80.49,10.35,5.48
70,cabo san lucas,40,MX,1577325916,82,22.89,-109.91,69.8,17.22
71,rosarito,40,CO,1577326115,94,4.91,-75.23,75.2,3.36
72,kapaa,75,US,1577325950,69,22.08,-159.32,82.4,13.87
73,bend,90,US,1577326097,92,44.06,-121.32,32.0,5.82
74,talcahuano,100,CL,1577325907,67,-36.72,-73.12,59.0,16.11
75,vaini,93,IN,1577326119,82,15.34,74.49,68.0,4.07
76,vestmannaeyjar,100,IS,1577326119,63,63.44,-20.27,40.86,19.69
77,busteni,100,RO,1577326119,75,45.4,25.53,35.01,3.0
78,yulara,0,AU,1577326119,9,-25.24,130.99,102.2,19.46
79,kattivakkam,75,IN,1577326119,94,13.22,80.32,75.99,8.88
80,leua,100,AO,1577326119,96,-11.65,20.45,66.11,6.24
81,grand gaube,75,MU,1577326120,78,-20.01,57.66,79.0,17.22
82,thompson,90,CA,1577326120,85,55.74,-97.86,10.4,2.24
83,yellowknife,90,CA,1577325858,84,62.45,-114.38,1.4,2.24
84,narsaq,63,GL,1577326127,27,60.91,-46.05,37.4,24.16
85,muzaffarabad,0,PK,1577325881,31,34.37,73.47,31.05,11.27
86,kirakira,47,SB,1577326128,63,-10.46,161.92,84.72,6.76
87,bambous virieux,75,MU,1577326129,78,-20.34,57.76,79.0,17.22
88,severo-kurilsk,100,RU,1577326129,89,50.68,156.12,22.82,16.49
89,buenos aires,90,AR,1577325931,77,-34.61,-58.44,62.6,11.41
90,santa maria del oro,95,MX,1577326130,55,25.95,-105.37,48.63,6.78
91,coihaique,90,CL,1577326048,71,-45.58,-72.07,51.8,4.7
92,arraial do cabo,0,BR,1577326130,88,-22.97,-42.02,74.73,4.59
93,mahebourg,75,MU,1577326130,78,-20.41,57.7,79.0,17.22
94,port-cartier,5,CA,1577326130,60,50.03,-66.88,8.6,12.75
95,samarai,47,PG,1577326130,68,-10.62,150.67,85.01,10.25
96,kolda,100,SN,1577325872,13,12.89,-14.94,70.38,3.0
97,yagodnoye,100,RU,1577326131,97,62.52,149.63,-22.81,1.28
98,castro,100,CL,1577326131,76,-42.48,-73.76,53.6,6.93
99,imbituba,75,BR,1577326131,88,-28.24,-48.67,77.0,12.75
100,hamilton,90,CA,1577325915,100,43.26,-79.87,37.99,11.41
101,pacific grove,90,US,1577326132,76,36.62,-121.92,53.6,13.87
102,luderitz,68,NA,1577326132,67,-26.65,15.16,62.6,10.29
103,tingo maria,90,PE,1577326133,95,-9.29,-76.01,60.3,3.56
104,lakes entrance,0,AU,1577325845,79,-37.88,147.99,68.0,3.0
105,ono,75,JP,1577326133,87,34.86,134.95,52.0,9.17
106,margate,20,AU,1577326133,45,-43.03,147.26,75.0,12.75
107,dana point,90,US,1577325859,81,33.47,-117.7,57.2,7.31
108,coquimbo,0,CL,1577326134,82,-29.95,-71.34,59.0,8.05
109,vila franca do campo,40,PT,1577326135,72,37.72,-25.43,64.4,14.99
110,lorengau,100,PG,1577326135,75,-2.02,147.27,84.2,16.55
111,chapadinha,100,BR,1577326135,84,-3.74,-43.35,76.84,3.22
112,mkushi,100,ZM,1577326136,96,-13.61,29.4,63.3,3.24
113,nikolskoye,90,RU,1577326136,93,59.7,30.79,35.6,8.95
114,lompoc,90,US,1577326017,87,34.64,-120.46,52.0,5.82
115,roma,0,IT,1577326058,70,41.89,12.48,48.99,6.93
116,neuquen,77,AR,1577326081,40,-38.95,-68.06,71.6,3.36
117,souillac,86,FR,1577326137,93,45.6,-0.6,45.0,4.97
118,necochea,0,AR,1577325917,1,-38.55,-58.74,53.01,8.99
119,babstovo,100,RU,1577326137,74,48.12,132.48,-6.77,5.84
120,plouzane,90,FR,1577326137,87,48.38,-4.62,51.01,25.28
121,san pedro de macoris,75,DO,1577326138,94,18.46,-69.3,78.8,5.82
122,balabac,98,PH,1577326138,71,7.99,117.06,83.7,5.7
123,kawalu,100,ID,1577326138,65,-7.38,108.21,82.35,3.8
124,shellbrook,90,CA,1577326138,100,53.22,-106.39,24.8,5.82
125,saskylakh,0,RU,1577326138,96,71.97,114.09,-37.01,9.04
126,chapais,1,CA,1577326139,91,49.78,-74.86,1.4,4.7
127,erenhot,0,CN,1577326139,65,43.65,111.97,11.53,15.75
128,carnarvon,0,ZA,1577326142,55,-30.97,22.13,47.86,8.68
129,mar del plata,100,AR,1577326144,40,-46.43,-67.52,60.91,37.36
130,sisimiut,0,GL,1577326144,54,66.94,-53.67,5.16,7.31
131,richards bay,70,ZA,1577326145,91,-28.77,32.06,76.57,7.2
132,rosetta,94,EG,1577326146,69,31.4,30.42,62.38,28.07
133,caravelas,100,BR,1577326146,88,-17.73,-39.27,74.25,5.46
134,tamworth,0,AU,1577326146,24,-31.09,150.93,89.6,8.05
